"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thur","Tue","Wed","temperature","wind_speed","scaledCollisions","num_collisions"
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.2,2,0.5,286
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.2,1.8,0.735294117647059,334
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.4,3.7,0.5,286
"221",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.8,2.8,0.691176470588235,325
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.4,1.4,0.67156862745098,321
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.3,4.2,0.357843137254902,257
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.6,4.6,0.534313725490196,293
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.6,2.6,0.725490196078431,332
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.7,1.5,0.745098039215686,336
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.8,2.1,0.779411764705882,343
"228",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.9,2.6,0.808823529411765,349
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.8,5.3,0.583333333333333,303
"230",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.7,3.4,0.852941176470588,358
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.3,1.4,0.681372549019608,323
