collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2021-01-09,6,09,2021,01,244,0,115,11.5,14.9,1011.6,13.0,37.0,24.1,0.0,30.7,10.0,6.0,24.1,0.0,,0.0,0.0,0.0
2022-01-10,1,10,2022,01,265,0,115,11.5,17.6,1018.4,17.1,39.9,27.0,0.0,32.7,9.3,7.7,27.0,0.1,3.1,0.0,0.0,0.0
2016-03-07,1,07,2016,03,571,0,117,11.5,27.0,1022.2,13.0,60.1,32.0,0.0,45.2,9.0,6.1,26.0,0.0,,0.0,0.0,0.0
2021-01-23,6,23,2021,01,251,0,115,11.5,9.1,1015.3,15.0,45.0,28.0,0.0,31.6,10.0,9.2,28.9,0.0,,0.0,0.0,0.0
2015-06-12,5,12,2015,06,451,0,115,11.5,63.9,1013.1,8.0,89.1,72.0,0.0,81.6,8.0,3.3,20.0,0.0,,0.0,0.0,0.0
2015-03-08,7,08,2015,03,464,0,115,11.5,21.3,1017.6,11.1,48.9,37.0,0.0,41.4,9.8,4.0,19.0,0.0,18.1,0.0,0.0,0.0
2015-05-18,1,18,2015,05,566,0,115,11.5,58.5,1020.4,9.9,82.9,60.1,0.0,67.2,7.2,3.9,15.9,0.02,,0.0,0.0,0.0
2021-03-19,5,19,2021,03,309,0,115,11.5,15.4,1018.6,19.0,46.9,30.9,0.0,38.5,9.3,11.3,28.9,0.67,,0.0,0.0,1.0
2019-03-07,4,07,2019,03,556,0,115,11.5,5.3,1024.9,17.1,32.0,18.0,0.0,24.1,10.0,11.5,24.1,0.0,1.2,0.0,0.0,0.0
2014-10-02,4,02,2014,10,558,0,115,11.5,54.1,1019.6,8.9,70.0,61.0,0.0,63.5,9.8,4.8,15.9,0.02,,0.0,0.0,0.0
2022-01-26,3,26,2022,01,266,0,115,11.5,4.1,1025.0,11.1,42.1,19.9,0.0,25.6,10.0,5.8,20.0,0.0,,0.0,0.0,0.0
2016-01-17,7,17,2016,01,451,0,115,11.5,23.1,1009.2,9.9,52.0,30.0,1.0,37.3,8.6,5.8,15.9,0.03,1.2,0.0,0.0,1.0
2013-12-01,7,01,2013,12,420,0,115,11.5,28.2,1023.8,6.0,48.9,25.0,0.0,41.3,10.0,2.1,,0.0,,0.0,0.0,0.0
2015-04-14,2,14,2015,04,542,0,115,11.5,41.5,1020.4,7.0,68.0,50.0,0.0,60.7,10.0,3.7,17.1,0.0,,0.0,0.0,0.0
2013-01-09,3,09,2013,01,487,0,120,12.0,30.8,1026.3,9.9,48.9,39.0,0.0,43.8,7.8,3.7,15.9,0.0,,0.0,0.0,0.0
2014-02-21,5,21,2014,02,545,0,120,12.0,36.3,1011.7,14.0,48.2,35.6,1.0,39.4,2.9,6.3,28.0,0.03,15.0,0.0,0.0,0.0
2023-01-31,2,31,2023,01,257,0,120,12.0,28.8,1020.6,8.9,55.0,34.0,0.0,40.8,9.3,3.3,15.9,0.03,,0.0,0.0,1.0
2012-12-05,3,05,2012,12,514,0,120,12.0,41.5,1016.3,19.0,57.9,39.9,0.0,52.6,9.1,6.3,28.0,0.01,,0.0,0.0,0.0
2017-03-26,7,26,2017,03,456,0,120,12.0,34.5,1029.8,13.0,45.0,37.0,0.0,40.3,9.4,7.8,20.0,0.15,,0.0,0.0,0.0
2023-02-11,6,11,2023,02,261,0,120,12.0,20.4,1021.8,11.1,61.0,36.0,0.0,42.4,10.0,6.1,22.9,0.0,,0.0,0.0,0.0
2021-11-28,7,28,2021,11,271,0,120,12.0,25.4,1012.1,6.0,41.0,33.1,0.0,36.2,9.0,2.2,,0.0,,0.0,0.0,1.0
2015-08-24,1,24,2015,08,575,0,120,12.0,64.3,1012.3,6.0,87.1,70.0,0.0,78.2,9.9,2.1,14.0,0.0,,0.0,0.0,0.0
2022-08-07,7,07,2022,08,267,0,120,12.0,71.4,1020.8,9.9,91.9,75.9,1.0,83.8,10.0,4.3,20.0,0.0,,0.0,0.0,0.0
