day,dd,mm,year,collision_date,num_collisions,injured,fatalities,weighted_fatalities_injuries,num_vehicles_involved,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
3,06,06,2018,2018-06-06,651,169,0,16.9,1249,48.8,1009.6,4.1,75.0,57.9,0.0,63.8,10.0,2.3,,0.0,,0.0,0.0,0.0
2,13,11,2012,2012-11-13,648,169,0,16.9,1293,47.5,1024.6,25.1,62.6,44.1,0.0,52.4,8.8,6.1,29.9,0.06,,0.0,0.0,0.0
4,29,11,2018,2018-11-29,646,169,0,16.9,1211,25.9,1010.1,,46.0,36.0,0.0,41.8,10.0,,,0.0,,0.0,0.0,0.0
2,26,10,2021,2021-10-26,323,169,0,16.9,543,57.8,997.7,12.0,73.0,55.0,0.0,60.2,5.7,5.2,25.1,2.38,,0.0,0.0,0.0
5,18,10,2019,2019-10-18,634,169,0,16.9,1196,38.0,1008.0,14.0,57.9,50.0,0.0,53.2,10.0,8.7,28.0,0.0,,0.0,0.0,0.0
1,07,07,2014,2014-07-07,614,169,0,16.9,1235,61.8,1010.7,8.9,90.0,66.0,0.0,79.8,9.6,4.8,15.9,0.0,,0.0,0.0,0.0
7,20,11,2016,2016-11-20,529,169,0,16.9,959,31.7,1001.2,15.0,63.0,34.0,0.0,41.2,8.5,7.9,29.9,0.56,,0.0,0.0,1.0
3,17,08,2022,2022-08-17,261,169,0,16.9,467,56.4,1015.7,6.0,82.9,66.0,0.0,73.4,10.0,2.1,,0.0,,0.0,0.0,0.0
4,16,07,2015,2015-07-16,686,169,0,16.9,1361,49.1,1015.1,12.0,81.0,64.0,0.0,72.8,10.0,5.9,17.1,0.12,,0.0,0.0,0.0
5,23,12,2022,2022-12-23,311,169,0,16.9,537,38.5,996.8,20.0,57.9,16.0,1.0,43.4,6.5,9.0,35.0,1.99,,0.0,0.0,1.0
3,23,08,2017,2017-08-23,629,169,0,16.9,1160,62.6,1009.3,9.9,89.1,71.1,0.0,76.4,8.5,4.9,22.0,0.3,,0.0,0.0,0.0
3,02,06,2021,2021-06-02,339,169,0,16.9,630,53.5,1023.3,5.1,75.9,57.0,0.0,67.7,10.0,2.5,,0.0,,0.0,0.0,0.0
2,19,03,2019,2019-03-19,565,169,0,16.9,1043,15.5,1028.6,8.0,51.1,32.0,0.0,41.6,10.0,2.5,,0.0,,0.0,0.0,0.0
6,16,03,2019,2019-03-16,550,169,0,16.9,1035,30.0,1012.2,15.0,64.9,43.0,0.0,51.2,9.7,8.7,27.0,0.38,,0.0,0.0,0.0
6,26,08,2017,2017-08-26,570,169,0,16.9,1086,48.9,1023.6,7.0,78.1,62.1,0.0,70.0,10.0,3.1,,0.0,,0.0,0.0,0.0
2,20,05,2014,2014-05-20,650,179,0,17.9,1277,36.9,1018.3,7.0,78.1,48.9,0.0,66.2,10.0,2.9,,0.0,,0.0,0.0,0.0
2,19,07,2016,2016-07-19,699,179,0,17.9,1308,59.0,1017.9,8.9,93.0,72.0,0.0,77.7,9.3,4.5,17.1,0.35,,0.0,0.0,0.0
4,17,12,2015,2015-12-17,745,179,0,17.9,1419,48.7,1012.6,6.0,59.0,46.0,0.0,54.7,6.8,3.4,15.9,0.04,,0.0,0.0,0.0
1,23,10,2017,2017-10-23,669,179,0,17.9,1246,59.7,1024.5,7.0,75.9,57.0,0.0,66.7,9.6,2.9,17.1,0.0,,0.0,0.0,0.0
2,28,08,2018,2018-08-28,715,179,0,17.9,1307,71.7,1016.8,6.0,93.9,73.9,0.0,85.5,7.4,3.1,17.1,0.0,,0.0,0.0,0.0
5,30,08,2019,2019-08-30,630,179,0,17.9,1171,56.5,1015.9,8.0,86.0,64.9,0.0,75.5,10.0,3.7,18.1,0.0,,0.0,0.0,0.0
2,26,03,2019,2019-03-26,610,179,0,17.9,1134,5.1,1022.6,9.9,55.9,33.1,0.0,42.1,10.0,6.6,18.1,0.0,,0.0,0.0,0.0
4,29,09,2022,2022-09-29,313,179,0,17.9,536,45.4,1026.3,11.1,69.1,53.1,0.0,60.7,10.0,4.9,19.0,0.0,,0.0,0.0,0.0
5,06,03,2020,2020-03-06,673,179,0,17.9,1244,34.1,1013.8,11.1,51.1,37.0,0.0,41.8,8.7,6.0,20.0,0.0,,0.0,0.0,0.0
1,16,06,2014,2014-06-16,622,179,0,17.9,1226,55.3,1019.5,7.0,81.0,59.0,0.0,72.3,10.0,2.1,,0.0,,0.0,0.0,0.0
5,06,07,2012,2012-07-06,638,179,0,17.9,1286,62.3,1011.7,9.9,91.0,66.9,0.0,81.9,10.0,3.1,,0.0,,0.0,0.0,0.0
1,04,11,2019,2019-11-04,623,179,0,17.9,1172,29.0,1026.2,8.0,55.9,41.0,0.0,48.5,10.0,2.3,15.0,0.0,,0.0,0.0,0.0
5,17,08,2018,2018-08-17,703,179,0,17.9,1313,71.4,1017.1,6.0,88.0,75.9,0.0,82.5,7.7,2.5,,0.0,,0.0,0.0,0.0
5,31,07,2015,2015-07-31,753,189,0,18.9,1501,61.4,1010.5,6.0,89.1,72.0,0.0,80.5,8.6,3.3,15.0,1.95,,0.0,0.0,0.0
6,18,01,2020,2020-01-18,774,189,0,18.9,1483,6.5,1034.3,12.0,34.0,19.9,1.0,23.9,7.6,4.0,22.0,0.0,,0.0,0.0,1.0
7,15,05,2022,2022-05-15,306,189,0,18.9,563,61.6,1011.7,7.0,75.9,60.1,0.0,65.2,6.2,2.4,,0.32,,0.0,0.0,0.0
5,01,10,2021,2021-10-01,385,189,0,18.9,673,44.0,1023.1,,66.9,51.1,0.0,58.7,10.0,,,0.0,,0.0,0.0,0.0
5,05,10,2012,2012-10-05,693,189,0,18.9,1382,59.7,1016.7,9.9,78.1,60.8,0.0,67.8,8.4,3.3,,0.0,,0.0,0.0,0.0
7,13,08,2017,2017-08-13,563,189,0,18.9,1056,64.9,1013.2,7.0,82.9,64.0,0.0,76.1,9.8,3.7,,0.0,,0.0,0.0,0.0
7,20,09,2020,2020-09-20,275,189,0,18.9,497,29.3,1031.4,8.9,64.9,50.0,0.0,56.1,10.0,5.7,15.9,0.0,,0.0,0.0,0.0
5,06,04,2018,2018-04-06,515,189,0,18.9,953,25.0,1015.3,12.0,62.1,34.0,0.0,44.8,9.4,4.7,22.0,0.0,,0.0,0.0,0.0
4,21,04,2016,2016-04-21,694,190,0,18.9,1293,32.1,1020.1,13.0,73.0,48.9,0.0,59.5,10.0,4.8,18.1,0.0,,0.0,0.0,0.0
4,22,09,2016,2016-09-22,660,189,0,18.9,1222,51.3,1020.9,6.0,86.0,64.9,0.0,74.2,10.0,2.1,,0.0,,0.0,0.0,0.0
2,17,01,2017,2017-01-17,657,199,0,19.9,1195,30.4,1024.1,9.9,43.0,30.0,0.0,40.0,6.6,3.8,17.1,0.0,,0.0,0.0,0.0
3,29,09,2021,2021-09-29,343,199,0,19.9,613,44.3,1014.3,,71.1,54.0,0.0,62.2,10.0,,,0.27,,0.0,0.0,0.0
5,29,07,2016,2016-07-29,774,199,0,19.9,1430,68.5,1011.0,9.9,95.0,69.1,1.0,76.1,5.1,4.0,15.0,0.94,,0.0,0.0,0.0
1,09,09,2013,2013-09-09,632,199,0,19.9,1244,45.6,1021.5,9.9,82.9,57.0,0.0,65.3,10.0,4.9,15.9,0.0,,0.0,0.0,0.0
1,28,03,2016,2016-03-28,658,199,0,19.9,1171,38.4,1010.5,12.0,62.1,42.1,0.0,47.2,6.7,6.7,29.9,0.14,,0.0,0.0,0.0
5,21,12,2012,2012-12-21,751,199,0,19.9,1475,42.9,996.6,32.1,55.9,39.0,0.0,47.3,7.1,9.4,42.9,0.56,,0.0,0.0,0.0
6,31,03,2018,2018-03-31,589,199,0,19.9,1135,21.5,1021.1,12.0,62.1,39.0,0.0,46.6,10.0,5.4,22.0,0.03,,0.0,0.0,0.0
7,06,06,2021,2021-06-06,367,199,0,19.9,660,62.2,1015.9,7.0,91.9,66.0,0.0,83.5,10.0,2.7,14.0,0.0,,0.0,0.0,0.0
6,14,07,2018,2018-07-14,577,209,0,20.9,1091,59.7,1019.7,6.0,88.0,68.0,0.0,78.5,10.0,3.0,,0.0,,0.0,0.0,0.0
3,23,10,2019,2019-10-23,669,209,0,20.9,1243,48.6,1013.0,8.9,64.9,55.0,0.0,60.6,7.9,5.5,20.0,0.58,,0.0,0.0,0.0
5,01,11,2013,2013-11-01,710,209,0,20.9,1404,56.7,1004.4,20.0,70.0,53.1,0.0,66.2,9.5,4.8,38.1,0.07,,0.0,0.0,0.0
3,04,10,2017,2017-10-04,711,209,0,20.9,1351,52.0,1029.8,8.9,75.0,55.9,0.0,64.0,10.0,3.7,18.1,0.0,,0.0,0.0,0.0
3,23,05,2018,2018-05-23,729,239,0,23.9,1409,57.5,1014.1,5.1,81.0,55.0,0.0,66.7,5.9,1.2,,0.58,,0.0,0.0,0.0
